urls,timestamp,record_id,Titles,Host_name,Property_types,Prices_per_night,Check_ins,Check_outs,Cleaning_fees,Location,Ratings,Num_reviews,Viajeros,Dormitorios,Camas,Baños,Maximum_guests,Otros
https://www.airbnb.es/rooms/961287943216806993?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-08&check_out=2024-12-13&source_impression_id=p3_1730223960_P3j5IocM6wftD1iU&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,961287943216806993,"Descubre nuestra habitación doble en el corazón del emblemático barrio del Eixample de Barcelona. Diseñada para mayor comodidad y conveniencia, esta espaciosa habitación cuenta con dos camas separadas, lo que garantiza la privacidad de cada huésped. Los servicios modernos incluyen TV inteligente, mininevera y caja fuerte para proteger tus objetos de valor. Deléitate con el lujo de un baño privado equipado con accesorios de primera calidad. Nuestra ubicación privilegiada está a solo 15 minutos a pie de la majestuosa Sagrada Familia y a solo 5 minutos a pie de la Estación del Norte.El espacioLa habitación tiene 3 camas individuales, baño privado, TV inteligente, mininevera y una caja fuerte. Se proporcionan las toallas y los aseos, así como las sábanas. La habitación tiene una ventana interior, que no se puede abrir.Servicios y zonas comunesLa recepción del hotel está abierta de 07:00 a 23:00. Los huéspedes podrán disfrutar en nuestro vestíbulo. Para acceder a la segunda planta del hotel contamos con ascensor instalado.Otros aspectos destacablesTodos los huéspedes están obligados a pagar el impuesto municipal de Barcelona, también conocido como el impuesto turístico de 5,50 euros por persona y noche. Esto no está incluido en el precio del hotel y se cobrará por separado a la llegada.Número de registroHB-000087",Anfitrión: Green House,"Habitación en hotel en Barcelona, España",74 €,Llegada a partir de las 15:00,Salida antes de las 11:00,,,"4,48",201,2 viajeros,1 dormitorio,2 camas,"1,5 baños",2,
https://www.airbnb.es/rooms/1260094358313659968?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-04&check_out=2024-11-09&source_impression_id=p3_1730223959_P3gvJHiBVFvF96WS&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1260094358313659968,"Me encanta viajar, compartir y conocer lugares y personas. Soy muy trabajadora, tengo 3 hijos y a pesar de ser joven ya tengo 2 nietos.",Anfitrión: Diana Maria,"Alojamiento entero: loft en Barcelona, España",73 €,Horario de llegada: de 15:00 a 22:00,Salida antes de las 11:00,28 €,"Barcelona, Catalunya, España",Nuevo,,3 viajeros,1 dormitorio,2 camas,1 baño,3,
https://www.airbnb.es/rooms/1210295928648344258?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1962958323&search_mode=regular_search&check_in=2024-11-04&check_out=2024-11-09&source_impression_id=p3_1730223960_P3u-AN5StVDQKlpG&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1210295928648344258,"Cancelación gratuita antes del 3 nov. Si cancelas antes de la fecha de llegada (4 nov.), recibirás un reembolso parcial.",Anfitrión: Vero,"Habitación en Barcelona, España",36 €,Horario de llegada: de 15:00 a 20:00,Salida antes de las 12:00,31 €,"Barcelona, Catalunya, España",Nuevo,,,,1 cama,Baño compartido,1,
https://www.airbnb.es/rooms/1192692130835760091?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-21&check_out=2024-11-26&source_impression_id=p3_1730223960_P31HwkIughTuntRL&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1192692130835760091,"Disfruta de la privacidad  de este alojamiento acogedor tranquilo y céntrico, en una ubicación espléndida, en el histórico barrio del Gótico, a poco minutos de la playa. Esta en un semisótano, el área es  de  23 m incluido el  baño.  Comodidades:  cafetera Nespresso, hervidor de agua, toallas y artículos de aseo.El espacioDe la entrada del edificio, entras a un vestíbulo y bajas 6 escalones, accedes a la propiedad, el Miniflat es un pequeño y acogedor espacio que  solo es para ti .Servicios y zonas comunesNo hay zonas comunes, es una habitación privada con salida a la calleNúmero de registroExempt",Anfitrión: Ele,"Habitación privada en: loft en Barcelona, España",58 €,Horario de llegada: de 14:00 a 21:00,Salida antes de las 12:00,20 €,"Barcelona, Catalunya, España","5,0",4,1 viajero,1 dormitorio,2 camas,1 baño privado,1,
https://www.airbnb.es/rooms/1202828460995202150?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-08&check_out=2024-12-13&source_impression_id=p3_1730223960_P3_65ATUq5P6DjUO&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1202828460995202150,"Situado en pleno Barrio Gótico, en el corazón de Barcelona. Al lado del Mercado de Santa Caterina, la Catedral y el Born. A dos calles del Palau de la Música Catalana (una de las principales salas de conciertos del mundo) y muy cercano a Plaza Catalunya, a las zonas comerciales de Barcelona (Ramblas, Paseo de Gracia, Porta Ferrisa, Portal de l’Angel) y a dos pasos de la iglesia de Santa María del Mar. Lic. Prov. según sent. 129/2024 de 16/04/24 exp. Ajuntament 01-IU2019-2373> Piso 3º 1ªEl espacioApartamento exterior 54 m² en edificio rehabilitado en 2010 (completamente nuevo), con ascensor, en c/ Sant Pere Més Baix - Ciutat Vella. Totalmente amueblado: electrodomésticos (lavadora, nevera, horno, microondas, tostadora, hervidor eléctrico, secador de pelo, plancha), enseres cocina, vajilla y cubertería, ropa de hogar (mantas, toallas, sábanas). Consta de: • 1 dormitorio con cama de matrimonio de 150 cm. • 1 dormitorio con cama de matrimonio de 135 cm. • 1 baño con ducha • salón comedor con cocina americana • calefacción  • Ventiladores en las habitaciones. 01-IU2019-2375  - Licencia provisional  1_2019_0519213_1 / 18_9_2019 / Ajuntament de Barcelona de conformidad con la sentencia núm. 129/2024 de 16 de abril dictada por el Juzgado de lo Contencioso-Administrativo núm. 16 de Barcelona y de conformidad con la circular interpretativa de 12 de marzo de 2014 de la Generalitat de Catalunya (piso 3º-1ª)Número de registroHUTB-000000",Anfitrión: Cristian,"Alojamiento entero: apartamento en Barcelona, España",80 €,Llegada a partir de las 15:00,Salida antes de las 11:00,45 €,"Barcelona, Catalunya, España","4,75",4,4 viajeros,2 dormitorios,2 camas,1 baño,4,
https://www.airbnb.es/rooms/1167927143759339825?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1918858382&search_mode=regular_search&check_in=2024-12-02&check_out=2024-12-07&source_impression_id=p3_1730223960_P3Fx7Vg3M1UlqXoU&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1167927143759339825,"Cerca de la playa y en centro. La zona es muy turística y la localización perfecta para visitar la cuidad. Cerca de bus y metro. En la casa vive una gatita muy tranquila.El espacioNo se permite la entrada de gente, solo la persona que reserva.Servicios y zonas comunesMuy cerca de la playa a 2 minutos.Durante tu estanciaEs importante la persona que esté tranquila y no moleste a lo vecinosOtros aspectos destacablesEl uso de la lavadora tiene un coste de 6 los programas hasta 30 minutos y a 8 de más minutos. El uso de la lavadora solo se puede realizar en mi presencia y yo soy las que voy a poder en marcha. Pongo esta tarifa, porque en el pasado varias veces me he encontrado la lavadora rota.Número de registroHutb-252742",Quédate con Marina,"Habitación en Barcelona, España",40 €,Horario de llegada: de 20:00 a 1:00,Salida antes de las 11:00,5 €,"Barcelona, Catalunya, España","5,0",,,,1 cama,Baño compartido,1,
https://www.airbnb.es/rooms/1093382940108512105?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1843038712&search_mode=regular_search&check_in=2025-01-06&check_out=2025-01-11&source_impression_id=p3_1730223960_P3ucoZL5a0N2Ntij&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1093382940108512105,"En una de las calles principales de la zona, alrededor de tiendas, cafeterías, cerca de las estaciones de metro L3 - L4 y lugares turísticos como Pl. Catalunya, Catedral y a unas cuadras del mar. Esta increíble habitación (20 m2) y tiene un baño privado para compartir solo con el otro dormitorio, y todo lo que se puede ver en las fotos. El piso cuenta con salón y comedor, cocina, baño extra, trastero y espacios al aire libre, 120 m2 completamente amueblados con todo lo necesario, lo único que falta es tu equipaje y buen rolloNúmero de registroExempt",Quédate con Guido,"Habitación en Barcelona, España",59 €,Horario de llegada: de 13:00 a 15:00,Salida antes de las 10:00,50 €,"Barcelona, Catalunya, España","4,75",8,,,1 cama,Baño compartido,2,
https://www.airbnb.es/rooms/1263117591292794971?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-16&check_out=2024-11-21&source_impression_id=p3_1730223960_P3jY1Th4WebW-tjp&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1263117591292794971,"La ubicación muy buena, cerca de todo si estás c autoNúmero de registroHUTB-009325",Anfitrión: Carmen,"Alojamiento entero: apartamento en Barcelona, España",130 €,Máximo 3 huéspedes,No consta que el alojamiento tenga un detector de monóxido de carbono,30 €,"Barcelona, Catalunya, España",Nuevo,,3 viajeros,1 dormitorio,1 cama,1 baño,3,
https://www.airbnb.es/rooms/1247824320074399619?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1995473672&search_mode=regular_search&check_in=2024-12-19&check_out=2024-12-24&source_impression_id=p3_1730223960_P3UmOMM0RY9NFwlw&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1247824320074399619,"Disfruta de la sencillez de este alojamiento tranquilo y céntrico.El espacioOfrecemos económica habitación con  cama individual en el centro de la ciudad.- Situado entre Plaza España y  Plaza Catalunya y Las Ramblas.- Cerca de comercios, estación de metro, restaurantes y supermercados. Tienes todo lo que necesitas para tus vacaciones en Barcelona.- La estación de metro más cercana es Passeig de Gracia.- La puerta de habitación se cierra con la llave.- WI-FI..Servicios y zonas comunesRopa de cama y toallas incluidas en el precio.Servicios:- Aire acondicionado tiene precio de 10€/dia.- Servicio de lavandería 10 euros por lavado.- Servicio de consigna de equipaje: 10 euros hasta las 18:00, luego 5 euros por hora, pero no más de las 20:00 (solo el día de salida, previa solicitud).- Cuna, 10 euros por día, sujeta a disponibilidad.- Limpieza durante la estancia: 10 euros por día (opcional).Cambio de ropa de cama y toallas:- para estancias de 5 días, el tercer día de estancia;- para estancias superiores a 5 días, cada 4 días de estancia;- cambio no programado de ropa de cama o toallas 10 euros.Por motivos de seguridad, el chat de Airbnb es el canal preferido para comunicarse con los huéspedes.Otros aspectos destacables:La cocina y 1 baño se comparten con otros huéspedes. Las áreas comunes se limpian diariamente.Esta es una casa familiar, por lo que pedimos a los huéspedes que mantengan bajos los niveles de ruido después de las 22:00 p.m.No se permite la entrada al apartamento a huéspedes adicionales (que no hayan pagado su estancia) a menos que se acuerde previamente.Número de registroHUTB-001234",Anfitrión: Kristina,"Habitación en Barcelona, España",28 €,Horario de llegada: de 16:00 a 20:00,Salida antes de las 11:00,24 €,"Barcelona, Catalunya, España",Nuevo,,,,1 cama,Baño compartido,1,
https://www.airbnb.es/rooms/52981104?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-06&source_impression_id=p3_1730223960_P3JHqrH09UZzyGFp&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,52981104,"Habitación ideal para compartir historias y experiencias con capacidad para hasta 8 personas. Tiene 4 literas. Incluye un baño privado, dos lavabos, aire acondicionado, wifi gratuito, ropa de cama y un espacio individual para guardar su equipaje. Todas las camas tienen conexión USB para cargar sus dispositivos. Unite dispone de habitaciones con baño adaptado para minusválidos según disponibilidad.El establecimiento no acepta pagos en efectivo, solo se puede pagar con tarjeta de crédito.El espacioHostal situado en un entorno privilegiado, en un edificio remodelado de la Villa Olímpica, a pocos pasos de la playa. Ofrece amplias habitaciones todas con baño privado, aire acondicionado, WIFI y conexión USB en cada cama.Unite dispone de habitaciones privadas y compartidas, con más de 400m2 de espacios comunes con biblioteca, chill out, sala de TV, cocina, sala de creación de música electrónica, terraza con solárium y recepción 24h.Desayuno bufé por 8,50 € todos los días de 7:30 a 10:30 en nuestra sala de desayunos. Selección de pasteles, buenos zumos, cafés y tés de hierbas.También hay un espacio de coworking con ordenadores disponibles para los huéspedes. Todos los días se organizan actividades tanto dentro como fuera de Unite.Hay un bar/restaurante y aparcamiento (epark) en el edificio.El albergue se encuentra a 10 minutos en bicicleta de la Sagrada Familia y a 500 metros de la parada de metro de la línea 4 (amarilla) que enlaza con La Catedral, Passeig de Gràcia y Diagonal.Es el barrio de las start-ups y estudios de diseño más pioneros de la ciudad, playa Nova Icaria, Barceloneta, Born, Port Olimpic.Otros aspectos destacablesTenga en cuenta que este establecimiento no acepta pagos con American Express.Se requerirá una tarjeta de garantía en el momento del registro.Los huéspedes menores de 18 años necesitan el permiso de su tutor legal para alojarse en dormitorios compartidos.Un bebé no puede compartir un dormitorio.Las camas se asignarán el día de llegada de acuerdo con las preferencias del huésped dentro de nuestras posibilidades de acuerdo con la disponibilidad. Para asegurarse de que todos estén en la misma habitación, reserve una habitación privada.Las toallas están incluidas solo en las habitaciones privadas. Si ha reservado una cama en una habitación compartida, recuerde traerla con usted, de lo contrario, puede comprarla en la recepción por un costo adicional.UHB cuenta con una sala de visitas donde puede dejar su equipaje antes del check-in y después del check-out (servicio de pago). Cuando te alojes tienes un espacio reservado en tu habitación para tu equipaje, recuerda que puedes traer tu propio candado y si lo olvidas no te preocupes porque puedes comprar uno en Recepción (servicio de pago).Tenga en cuenta que estos servicios incluyen una tarifa adicional:Desayuno: 8,50 €Coste adicional de las toallas 5,00 €.Candado 6,00 €.Depósito de secador de pelo de 20,00 €. Estacionamiento no incluido en la tarifaTasa municipal NO incluida 4,68 € por persona/día de acuerdo con la Ley del Parlamento de Cataluña. A pagar directamente en el hostal. A partir del 10/01/24 costará 5,50 € por persona y por día.Número de registroAJ000697",Anfitrión: Unite Hostel,"Habitación en Barcelona, España",37 €,Llegada a partir de las 14:00,Salida antes de las 11:00,,,"4,47",2752,,,1 cama individual,Baño compartido,1,
https://www.airbnb.es/rooms/1197637831227097242?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1730223960_P3-U8Cx1AiRKb3EV&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1197637831227097242,El espacioEl apartamento está así formado:⭑Servicios y zonas comunesLos huéspedes tendrán el entero apartamento a su completa disposición.Otros aspectos destacables✓ Aire acondicionado✓ Internet✓ Check-in/check-out autónomos✓ Sábanas y toallas ✓ 1 minuto de la Rambla✓ 7 minutos de la Catedral✓ 10 minutos de Plaça Catalunya y Passeig de Gràcia✓ 15 minutos de Playa de la BarcelonetaNúmero de registroHUTB-001628,Anfitrión: Raffaele,"Alojamiento entero: apartamento en Barcelona, España",,Llegada a partir de las 15:00,Salida antes de las 11:00,,"Barcelona, Catalunya, España","5,0",3,2 viajeros,1 dormitorio,1 cama,1 baño,2,
https://www.airbnb.es/rooms/1197658127949521687?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1730223960_P3_wXsWkv5JUlS-J&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1197658127949521687,Este anfitrión tiene 16 evaluaciones de otros alojamientos. Échales un vistazo,Anfitrión: Ashley,"Alojamiento entero: apartamento en Barcelona, España",110 €,Horario de llegada: de 14:00 a 23:00,Salida antes de las 10:00,94 €,"Barcelona, Catalunya, España",Sin evaluaciones,,4 viajeros,2 dormitorios,3 camas,1 baño,4,
https://www.airbnb.es/rooms/12634537?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730223960_P36Rlqb00fSRj1Zf&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,12634537,"Este apartamento se encuentra a pocos pasos del casco antiguo, a solo 5 minutos a pie de las famosas Ramblas y del puerto.  El apartamento en sí es muy tranquilo y silencioso, ya que da a la parte interior del edificio. Perfecto para volver a casa y relajarte. Idealmente para visitar las principales atracciones de la ciudad ya que el apartamento está bien comunicado con metro, taxis, autobuses.El espacioEL APARTAMENTO con licencia oficial: HUTB - 002580Amplio, soleado y cómodo, con espacios abiertos y una sala de estar luminosa. Situado en uno de los barrios de moda y locales de Barcelona, lleno de vida durante el día y la noche. Sin embargo, muy silencioso, ya que se encuentra en un quinto piso real y no tiene ninguna ventana a las calles. El departamento ha sido remodelado con muebles frescos en enero de 2023 Este apartamento es el lugar perfecto para relajarse después de una jornada activa visitando la ciudad, una terraza privada para relajarse.Si buscas acción, a solo unos pasos del edificio, te mezclarás con los lugareños y encontrarás la mejor comida y bebida a precios asequibles. (Pregúntame a dónde ir ;)) Puedes descubrir fácilmente la ciudad a pie desde esta ubicación céntrica. Si quieres ir a algún lugar más lejos hay un montón de taxis pasando por el apartamento y las estaciones de metro Parallel y Drassanes están a solo 5 minutos a pie de la casa.¿Buscas una vista linda de la ciudad? A menos de 10 minutos caminando, estarás en la cima de la montaña de Montjuic con atracciones y, lo más importante, ¡una vista completa de la ciudad!HABITACIONESEl apartamento está equipado con cuatro (4) habitaciones y dos (2) baños completos, lo que lo hace perfecto para parejas, familias o grupos. *HABITACIÓN 1: cama tamaño queen y baño privado completo. Cama de 160 cm.*HABITACIÓN 2: Cama tamaño queen. Cama de 160 cm.*HABITACIÓN 3: dos camas individuales (litera) Cada cama de 90 cm.*HABITACIÓN 4: cama doble - Cama de 140cm. Baño completo para las otras habitaciones.Todas las habitaciones disponen de su propio armario y aire acondicionado y calefacción. LA COCINACocina totalmente equipada.*Platos, cristalería y cubiertos.*Utensilios de cocina.*lavavajillas;*Horno y microondas*Tostadora*Hervidor de AguaSALA Y TERRAZA*Mesa para un máximo de 8 personas.* Internet inalámbrico (todas las zonas del apartamento)*Terraza con mesa comedor y zona de chill out.Servicios y zonas comunesDisfruta de todas las zonas del apartamento, tendrás acceso a:- Internet inalámbrico- Calefacción y aire acondicionado en todas las habitaciones. -Lavadora y secadora- Secador de pelo- Cocina totalmente equipada-Toallas y sábanas-Champú, gel de ducha y papel higiénico.El edificio cuenta con dos ascensores (el apartamento está ubicado en el 4to piso)Otros aspectos destacablesProhibido fumar (solo en la terraza) No se admiten mascotas. Si traes una, no dudes en ponerte en contacto conmigo con antelación. No se permiten fiestas ni eventos.Vecinos muy estrictos en cuanto a ruido y fiestasNúmero de registroHUTB-002580",Anfitrión: Valerie,"Alojamiento entero: vivienda en Barcelona, España",150 €,Llegada a partir de las 15:00,Salida antes de las 11:00,130 €,,"4,74",,8 viajeros,4 dormitorios,4 camas,2 baños,8,
https://www.airbnb.es/rooms/1121943650344876902?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730223960_P3xdvjVcWXmqZKGH&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1121943650344876902,"Descubre este encantador ático de madera, un oasis de tranquilidad en el centro de Barcelona, ideal para parejas que buscan una experiencia única y romántica.Por favor Les Ruego que entiendan y lean detenidamente el anuncio, es una humilde casita de madera para vivir una experiencia diferente sin grandes lujos, además es un 5 piso sin ascensor solo para los mas deportistas.El espacioLo que te encantará de este espacio:Relájate en tu jacuzzi privado tras un día explorando la ciudad.Disfruta de cenas al aire libre con tu barbacoa exclusiva en la terraza.Vistas impresionantes y luz natural que inundan el espacio, creando un ambiente acogedor.Ubicado en un ático con total privacidad, perfecto para desconectar y disfrutar de momentos íntimos.Un diseño original y cálido con acabados en madera, brindando un toque único y acogedor.Nota: Aunque el edificio no cuenta con ascensor, la subida te recompensa con la serenidad y las vistas de este espacio excepcional.Detalles adicionales:Ideal para escapadas románticas.A poca distancia de los principales puntos turísticos y culturales de Barcelona.Un refugio de paz en el corazón de la ciudad, ideal para quienes buscan un equilibrio entre comodidad y privacidad.Servicios y zonas comunesTodos los espacios, incluyendo el jacuzzi y la barbacoa, son de uso completamente privado, asegurando total tranquilidad.Otros aspectos destacablesNo olvides que esta es una casa de madera con todo su encanto y romanticismo... ¡pero también con algunas peculiaridades! No te preocupes, no entra agua por el techo cuando llueve, no es ese tipo de casa de madera. Sin embargo, no deja de ser una casita de madera, con sus encantos.Número de registroHUTB-289019",Anfitrión: David Nicolas,"Minicasa en Barcelona, España",110 €,Llegada a partir de las 16:00,Salida antes de las 11:00,75 €,"Barcelona, Catalunya, España","5,0",3,2 viajeros,1 dormitorio,1 cama,1 baño,2,
https://www.airbnb.es/rooms/1258050710501185022?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730223960_P3wV7eyQ1ZnEaxay&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1258050710501185022,Este anfitrión tiene 191 evaluaciones de otros alojamientos. Échales un vistazo,Anfitrión: Kiko,"Alojamiento entero: apartamento en Barcelona, España",75 €,Horario de llegada: de 15:00 a 20:00,Salida antes de las 11:00,80 €,"Barcelona, Catalunya, España",Nuevo,,6 viajeros,3 dormitorios,3 camas,1 baño,6,
https://www.airbnb.es/rooms/1162260256190344733?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-10&check_out=2024-12-15&source_impression_id=p3_1730223960_P3JBulP_GFnsNNfi&previous_page_section_name=1000&federated_search_id=3cd7215a-e721-4878-b3f0-173adeec78c2,2024-10-29 21:15:36,1162260256190344733,Apartamento acogedor recién reformadoNúmero de registroExempt,Anfitrión: Lorenzo And  Cristina,"Alojamiento entero: apartamento en Barcelona, España",99 €,Horario de llegada: de 15:00 a 1:00,Salida antes de las 11:00,35 €,,Nuevo,,2 viajeros,1 dormitorio,1 cama,1 baño,2,
